voting_preference,troll_tweets_pro_democratic,troll_tweets_anti_democratic,troll_tweets_pro_republican,troll_tweets_anti_republican,Total Tweets,vote2012,vote2016,Vote,main_information_sorce
D,81,51,45,63,240,D,O,1,Social Media
D,81,46,37,63,227,O,D,1,None
D,79,54,42,47,222,R,D,1,Online
D,105,29,69,76,279,D,R,1,Social Media
D,86,44,6,62,198,D,D,0,Online
D,67,48,-4,71,182,O,R,1,Social Media
D,82,38,72,48,240,D,D,0,Online
D,70,18,9,50,147,D,D,0,Social Media
D,79,63,-6,32,168,D,D,0,Social Media
D,57,73,-1,67,196,D,D,0,Social Media
D,78,80,35,25,218,D,D,0,Social Media
D,82,58,9,23,172,D,D,0,Social Media
D,66,36,12,75,189,O,D,1,Social Media
D,81,37,14,-4,128,D,D,0,Social Media
D,67,34,38,62,201,D,R,1,Social Media
D,67,35,19,26,147,D,O,1,Social Media
D,76,39,38,71,224,D,D,0,Online
D,90,1,22,56,169,D,D,0,Online
D,76,40,43,52,211,O,D,1,None
D,84,45,36,61,226,R,D,1,None
D,99,21,30,55,205,O,D,1,None
D,74,5,34,39,152,D,D,0,Social Media
D,78,33,-17,27,121,D,R,1,Social Media
D,90,-22,18,53,139,D,R,1,Online
D,55,73,12,40,180,D,O,1,Online
D,91,54,-11,62,196,D,D,0,Online
D,69,20,24,28,141,D,D,0,Social Media
D,57,40,32,18,147,O,D,1,Social Media
D,45,37,31,59,172,D,D,0,None
D,66,7,6,77,156,R,O,1,Social Media
D,57,22,27,55,161,O,R,1,None
D,56,59,28,44,187,O,D,1,Social Media
D,113,17,57,50,237,D,D,0,Social Media
D,56,25,-2,74,153,D,D,0,Online
D,100,25,34,39,198,D,D,0,Print
D,91,65,13,51,220,D,O,1,None
D,62,36,25,49,172,D,D,0,Social Media
D,68,51,-3,52,168,D,D,0,None
D,72,55,2,72,201,D,O,1,Online
D,84,32,-11,59,164,D,D,0,Social Media
D,73,17,18,53,161,D,O,1,Social Media
D,97,43,24,18,182,D,D,0,Social Media
D,74,33,15,49,171,D,D,0,None
D,37,69,3,62,171,O,R,1,Online
D,78,30,32,56,196,O,D,1,Print
D,43,34,38,31,146,D,D,0,Print
D,99,54,14,37,204,R,O,1,None
D,65,27,48,36,176,D,D,0,Online
D,58,40,-6,30,122,O,O,0,Online
D,68,50,34,69,221,D,D,0,Social Media
D,92,32,36,68,228,O,D,1,Social Media
D,42,16,3,67,128,D,D,0,Online
D,85,46,32,38,201,D,D,0,Television
D,61,34,34,47,176,D,D,0,Social Media
D,80,0,43,59,182,D,O,1,Social Media
D,94,45,28,68,235,D,D,0,Social Media
D,91,43,2,49,185,R,D,1,Television
D,110,6,9,43,168,D,O,1,Online
D,83,29,10,4,126,O,D,1,Social Media
D,66,36,40,46,188,O,D,1,Online
D,123,29,8,34,194,D,D,0,Online
D,74,51,-3,59,181,D,D,0,Online
D,96,8,30,41,175,D,R,1,None
D,99,21,37,62,219,R,D,1,Print
D,89,31,62,45,227,O,D,1,Social Media
D,109,69,36,34,248,D,R,1,Social Media
D,76,37,20,7,140,O,O,0,Social Media
D,55,20,23,33,131,D,R,1,Social Media
D,73,71,2,58,204,D,D,0,Social Media
D,69,35,64,41,209,D,D,0,Online
D,87,51,4,57,199,O,D,1,None
D,61,62,23,0,146,D,D,0,Social Media
D,94,48,35,53,230,D,O,1,Television
D,57,66,-11,45,157,D,O,1,Online
D,115,24,39,44,222,D,D,0,None
D,109,72,26,71,278,D,D,0,Social Media
D,71,4,17,57,149,R,D,1,Social Media
D,83,20,29,54,186,O,O,0,None
D,73,28,11,90,202,D,D,0,None
D,56,45,-25,46,122,D,D,0,Television
D,27,31,33,64,155,O,D,1,Social Media
D,79,52,11,43,185,D,D,0,None
D,79,48,51,39,217,O,O,0,Television
D,113,54,3,67,237,D,O,1,Print
D,40,70,34,47,191,D,D,0,Social Media
D,67,11,31,35,144,D,O,1,Social Media
D,98,59,19,43,219,D,O,1,Online
D,87,35,-3,46,165,D,D,0,Social Media
D,82,24,24,60,190,D,D,0,None
D,68,4,-7,50,115,O,O,0,Television
D,84,23,5,52,164,O,D,1,Print
D,75,34,5,87,201,D,D,0,Online
D,82,1,45,15,143,D,D,0,Television
D,68,33,-12,43,132,O,D,1,Online
D,104,50,3,48,205,D,D,0,Online
D,101,14,-7,22,130,D,D,0,Print
D,107,40,28,102,277,D,D,0,Social Media
D,73,13,30,39,155,D,D,0,Social Media
D,74,39,55,71,239,D,O,1,None
D,73,58,5,39,175,O,D,1,Online
D,107,-4,53,35,191,D,O,1,Online
D,74,86,30,30,220,O,D,1,Online
D,82,17,24,29,152,D,O,1,Online
D,88,59,36,-3,180,D,D,0,None
D,94,82,0,66,242,O,D,1,Online
D,75,21,16,41,153,D,R,1,Online
D,127,26,7,54,214,O,D,1,Social Media
D,61,60,63,44,228,D,D,0,Social Media
D,51,24,4,54,133,D,D,0,None
D,81,21,22,32,156,D,O,1,Television
D,115,72,30,46,263,D,D,0,Social Media
D,81,75,-25,60,191,D,O,1,Social Media
D,82,35,33,59,209,R,O,1,Social Media
D,97,86,-18,49,214,D,D,0,Television
D,78,78,28,17,201,D,D,0,Social Media
D,82,39,-15,62,168,D,D,0,Social Media
D,104,24,7,63,198,O,O,0,Online
D,82,27,22,84,215,D,O,1,Online
D,65,68,6,16,155,D,D,0,Social Media
D,88,51,-4,56,191,O,O,0,Television
D,58,53,58,48,217,O,O,0,Online
D,51,40,24,75,190,D,O,1,None
D,78,44,60,54,236,O,D,1,Social Media
D,58,30,7,25,120,D,D,0,Online
D,92,63,10,36,201,D,D,0,Social Media
D,77,33,59,61,230,O,D,1,Television
D,65,80,21,33,199,D,D,0,Online
D,112,52,19,5,188,O,O,0,Print
D,78,60,44,87,269,D,O,1,None
D,108,70,7,57,242,D,D,0,Social Media
D,78,39,-7,66,176,D,D,0,None
D,73,5,27,35,140,D,D,0,Online
D,87,28,11,43,169,D,O,1,Online
D,101,52,17,8,178,D,D,0,Social Media
D,134,64,30,83,311,D,D,0,None
D,59,44,-12,65,156,R,D,1,Social Media
D,76,57,-11,31,153,D,D,0,Print
D,102,59,43,55,259,O,O,0,Online
D,87,61,20,62,230,D,D,0,Television
D,76,55,40,30,201,D,D,0,Print
D,54,36,17,31,138,D,D,0,Television
D,74,60,31,62,227,O,D,1,Television
D,76,30,29,59,194,O,O,0,Online
D,78,47,4,66,195,R,D,1,Online
D,112,30,45,45,232,D,O,1,Social Media
D,71,50,37,40,198,D,D,0,None
D,48,50,23,70,191,D,D,0,Online
D,90,38,20,60,208,D,D,0,Online
D,78,41,66,61,246,D,D,0,None
D,76,49,-13,6,118,O,O,0,Online
D,93,17,0,13,123,D,O,1,Television
D,22,60,54,41,177,D,D,0,None
D,69,45,17,46,177,D,O,1,Online
D,77,51,-15,68,181,O,D,1,Social Media
D,92,37,12,54,195,D,D,0,Online
D,75,2,33,37,147,D,O,1,None
D,60,55,43,30,188,D,D,0,Social Media
D,87,35,30,97,249,D,D,0,None
D,80,52,8,68,208,O,R,1,Social Media
D,82,81,-11,59,211,D,D,0,Television
D,103,17,52,70,242,D,D,0,Social Media
D,69,67,19,47,202,O,D,1,Social Media
D,55,33,8,28,124,D,D,0,Social Media
D,54,39,9,36,138,D,D,0,Print
I,30,55,59,39,183,D,D,0,Social Media
I,26,55,36,76,193,D,O,1,Social Media
I,40,48,47,38,173,R,D,1,Social Media
I,58,61,63,43,225,D,R,1,Social Media
I,39,65,56,55,215,D,R,1,Online
I,48,58,55,47,208,R,R,0,Online
I,29,44,52,33,158,R,R,0,Online
I,38,56,43,52,189,O,D,1,Online
I,46,64,49,40,199,R,R,0,Social Media
I,36,53,42,37,168,D,D,0,Social Media
I,48,54,58,39,199,D,R,1,Social Media
I,47,48,54,62,211,R,R,0,Social Media
I,34,66,45,48,193,D,D,0,Print
I,32,53,62,55,202,O,R,1,Television
I,64,92,65,44,265,D,R,1,Social Media
I,38,70,60,49,217,R,D,1,Social Media
I,40,58,60,48,206,D,D,0,Print
I,39,60,45,69,213,D,D,0,Social Media
I,34,53,61,80,228,O,D,1,None
I,31,63,38,56,188,O,D,1,Television
I,29,60,60,39,188,R,R,0,Online
I,49,43,64,46,202,D,R,1,Television
I,30,42,54,50,176,D,D,0,Social Media
I,47,66,49,53,215,R,D,1,Social Media
I,54,37,45,41,177,R,R,0,Online
I,52,56,37,55,200,D,D,0,Online
I,39,77,48,56,220,D,O,1,Social Media
I,35,43,48,47,173,D,R,1,Television
I,29,63,62,54,208,R,D,1,Television
I,40,76,39,31,186,R,R,0,None
I,38,65,49,51,203,D,D,0,None
I,42,73,46,57,218,D,R,1,Social Media
I,34,50,47,45,176,O,D,1,Online
I,46,66,57,44,213,D,D,0,Social Media
I,47,62,50,48,207,D,R,1,None
I,51,74,51,68,244,D,D,0,Online
I,62,85,55,46,248,D,D,0,Online
I,42,61,34,49,186,O,D,1,Print
I,34,71,49,37,191,D,D,0,None
I,39,56,51,60,206,O,D,1,Social Media
I,24,56,47,45,172,D,O,1,Television
I,41,54,58,65,218,D,D,0,Social Media
I,36,46,36,38,156,D,D,0,Social Media
I,44,61,22,55,182,R,O,1,Social Media
I,37,60,38,34,169,O,R,1,Online
I,26,67,55,64,212,D,D,0,Online
I,40,58,68,53,219,R,O,1,Online
I,26,51,66,61,204,D,D,0,Social Media
I,49,59,36,56,200,R,D,1,Social Media
I,22,78,42,69,211,D,R,1,Social Media
I,39,65,61,69,234,R,D,1,None
I,45,63,50,38,196,D,R,1,Television
I,25,71,55,57,208,D,O,1,None
I,54,78,57,42,231,D,D,0,Social Media
I,31,77,61,48,217,R,D,1,Social Media
I,35,56,66,37,194,D,R,1,Social Media
I,42,59,51,50,202,D,D,0,Social Media
I,37,56,50,36,179,R,R,0,Social Media
I,30,58,30,43,161,D,D,0,Print
I,44,65,58,50,217,R,O,1,Television
I,35,55,49,43,182,R,R,0,Social Media
I,45,48,36,50,179,O,O,0,Online
I,35,58,51,60,204,O,R,1,Online
I,30,74,54,45,203,O,O,0,Online
I,39,79,37,54,209,D,D,0,Social Media
I,46,56,45,47,194,R,D,1,Social Media
I,42,68,51,53,214,R,D,1,Social Media
I,39,59,38,53,189,O,O,0,Print
I,21,59,50,57,187,R,O,1,Social Media
I,55,53,51,53,212,D,R,1,Social Media
I,40,44,66,34,184,O,D,1,None
I,31,78,63,37,209,D,O,1,Social Media
I,38,68,43,62,211,O,R,1,Social Media
I,43,42,67,43,195,R,O,1,Social Media
I,25,57,57,53,192,R,D,1,Social Media
I,47,76,32,49,204,R,R,0,None
I,42,61,40,51,194,D,R,1,Print
I,52,62,42,69,225,O,O,0,Social Media
I,50,68,48,36,202,D,D,0,Print
I,35,70,45,63,213,R,R,0,Online
I,35,66,38,54,193,R,R,0,Social Media
I,30,64,37,52,183,D,R,1,Social Media
I,36,75,63,43,217,O,R,1,Online
I,49,77,52,59,237,D,R,1,Social Media
I,58,62,51,54,225,D,D,0,Online
I,49,58,50,52,209,D,D,0,Online
I,22,60,58,40,180,O,D,1,Television
I,48,63,55,59,225,D,D,0,Social Media
I,50,53,54,47,204,O,R,1,Social Media
I,46,66,74,46,232,D,D,0,Social Media
I,31,47,45,62,185,D,D,0,Print
I,51,82,58,57,248,R,D,1,Online
I,47,35,63,44,189,O,O,0,Online
I,47,62,53,55,217,D,D,0,Television
I,36,59,37,41,173,R,O,1,Online
I,48,65,46,58,217,O,R,1,Social Media
I,41,56,55,42,194,R,R,0,None
I,39,84,45,32,200,D,O,1,Social Media
I,55,59,52,67,233,O,R,1,Social Media
I,48,60,45,46,199,O,R,1,None
I,11,71,55,57,194,O,R,1,Online
I,36,67,64,39,206,D,D,0,None
I,25,62,43,49,179,R,R,0,Online
I,46,58,38,57,199,D,O,1,Online
I,36,58,43,60,197,R,D,1,Social Media
I,49,46,49,57,201,R,R,0,Social Media
I,45,66,43,56,210,R,R,0,Social Media
I,40,64,37,48,189,D,D,0,None
I,39,50,67,54,210,D,D,0,Television
I,36,58,45,58,197,D,D,0,Social Media
I,42,73,59,37,211,O,R,1,Television
I,29,73,40,48,190,O,D,1,Print
I,47,48,46,43,184,D,R,1,Online
I,36,68,54,36,194,R,R,0,Social Media
I,33,61,48,62,204,R,D,1,Television
I,37,64,58,61,220,R,D,1,Social Media
I,59,51,55,47,212,R,R,0,Print
I,22,58,51,43,174,R,D,1,None
I,37,39,47,61,184,D,D,0,Print
I,41,53,37,50,181,O,R,1,Social Media
I,35,57,42,42,176,R,O,1,Online
I,36,73,38,45,192,R,O,1,Social Media
I,44,49,48,29,170,O,O,0,Television
I,42,63,50,47,202,O,D,1,Television
I,33,61,56,73,223,D,R,1,Television
I,46,46,44,47,183,O,R,1,Television
I,42,63,41,41,187,O,D,1,None
I,47,76,50,59,232,D,O,1,Print
I,27,69,47,54,197,D,D,0,Print
I,32,71,49,54,206,R,R,0,Social Media
I,38,58,75,44,215,D,D,0,Online
I,50,70,61,47,228,D,R,1,Television
I,35,36,43,55,169,O,R,1,Online
I,30,47,59,39,175,R,R,0,None
I,48,58,43,57,206,D,D,0,Social Media
I,45,61,33,55,194,D,D,0,Television
I,28,65,63,40,196,D,D,0,Online
I,60,67,51,53,231,O,O,0,Online
I,55,55,51,41,202,D,R,1,None
I,26,55,43,51,175,R,D,1,None
I,62,57,62,52,233,R,O,1,Online
I,23,54,52,44,173,D,R,1,Social Media
I,41,59,63,40,203,D,R,1,Social Media
I,29,69,53,44,195,D,D,0,None
I,36,65,56,46,203,R,R,0,Online
I,37,56,41,47,181,O,D,1,Social Media
I,43,53,52,44,192,D,D,0,Online
I,29,59,39,43,170,D,D,0,Online
I,12,58,26,58,154,D,D,0,Online
I,39,72,59,38,208,D,D,0,Social Media
O,23,17,74,38,152,R,O,1,Social Media
O,32,30,64,36,162,O,D,1,Social Media
O,22,46,63,24,155,O,O,0,Online
O,38,47,64,41,190,O,O,0,Social Media
O,30,33,42,28,133,O,O,0,Online
O,36,38,50,27,151,R,R,0,None
O,20,58,53,26,157,O,O,0,Print
O,28,29,58,31,146,R,D,1,Online
O,33,58,64,24,179,O,O,0,Social Media
O,29,43,72,11,155,O,R,1,Television
O,47,50,76,20,193,O,O,0,Social Media
O,10,35,60,32,137,R,O,1,Online
O,38,29,66,46,179,O,O,0,None
O,30,44,57,37,168,D,O,1,Online
O,39,44,62,39,184,O,O,0,Online
O,29,36,69,35,169,O,O,0,Social Media
O,3,31,65,38,137,O,O,0,Social Media
O,34,53,55,44,186,O,O,0,Online
O,28,27,67,20,142,O,O,0,Social Media
O,20,54,68,14,156,D,R,1,Online
O,23,34,54,29,140,O,O,0,None
O,31,21,65,20,137,O,D,1,Social Media
O,55,62,70,13,200,R,R,0,Social Media
O,32,44,68,34,178,O,D,1,Online
O,20,29,58,17,124,O,O,0,Television
O,49,36,68,61,214,O,R,1,Social Media
O,26,32,73,31,162,O,O,0,None
O,22,43,50,37,152,O,O,0,Social Media
O,18,41,38,38,135,D,O,1,Social Media
O,23,28,69,20,140,O,O,0,Online
O,49,43,52,29,173,R,D,1,None
O,39,33,53,19,144,D,R,1,Social Media
O,37,46,68,34,185,O,R,1,Television
O,31,46,46,38,161,D,O,1,Online
O,33,40,63,29,165,R,O,1,Online
O,36,32,84,6,158,O,O,0,Online
O,32,35,49,39,155,O,R,1,Print
O,32,30,56,24,142,D,O,1,Social Media
O,40,48,65,45,198,O,O,0,Print
O,28,54,62,33,177,O,O,0,None
O,33,41,49,25,148,O,O,0,Social Media
O,21,43,62,22,148,D,O,1,Social Media
O,46,38,57,32,173,R,O,1,Social Media
O,44,42,50,18,154,D,O,1,Print
O,12,59,70,36,177,D,D,0,None
O,28,43,77,36,184,O,O,0,Social Media
O,35,53,45,32,165,O,O,0,Social Media
O,35,42,71,40,188,O,R,1,Online
O,38,26,62,20,146,O,O,0,Online
O,26,28,65,21,140,O,R,1,Social Media
